Patient ID,Visit#.x,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Breed,Sex (0 = female; 1 = male),Neuter status (0 = castrated; 1 = not castrated),Age,Weight (kg),Color (0 = yellow/dark yellow/amber; 1 = straw; 2 = red/pink; 3 = brown/light & dark brown; 4 = other),Clarity (0 = clear; 1 = opaque/cloudy; 2 = SLhazy; 3 = hazy),USG,PH,Protein,Glucose,Ketones,Creatinine,Bilirubin...19,Hemoprotein,Sediment Vol,Volume,Lipid Layer,WBC (simplified),Pyuria (1 if >/=4),RBC (simplified),Crystals (0 = none 1 = rare; 2 = few; 3 = mod; 4 = many),Unknown,Amorphous,Phosphate,CaOx,Oxalate,Triple Phos,Ca Phos,Bilirubin...35,Struvite,Ca Carbonate,Ammonium biurate,Ammonium Urate,Tyrosine,Uric acid,Cholesterol,Cystine,Starch,Na urate,Urate,Biurate,Hemoglobin,Talcom,Epithelial Cells-Transitional,Epithelial Cells-Squamous,Epithelial Cells-Renal,Epithelial Cells-Caudate,Casts-Hyaline,Casts-Granular,Casts-Waxy,Casts-Cellular,Bacteria quantity,Bac Type,Lipid Droplets,Sperm,Growth (0 = growth),1st Organism Grown,Amount (organism/mL)...64,2nd Organism Grown,Amount (organism/mL)...66,3rd Organism Grown,Underlying conditions (no = 0; yes = 1),Number of vet visits,Hospitalization (no = 0; yes = 1),Duration of hospitalization (days),Antimicrobial therapy (no = 0; yes = 1),Duration of therapy (days)
426764,4658DB,E. coli non-hemolytic,E. Coli,4,S,K9-WEIMARANER,0,0,0.8,40.2,0,2,1.013,7,75,0,0,0,1,0,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,E. Coli,7 x 10^2,,,,0,0,1,1,0,0
426909,5865DF,E. coli hemolytic,E. Coli,2,S,K9-X,0,0,8.5,14.6,1,2,1.009,5,0,0,0,0,0,0,0,5,0,50,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,0,0,0,1,7
427097,2036CP,E. coli hemolytic,E. Coli,>1,Invalid,K9-LAB,1,1,7.5,43.6,4,3,1.006,9,25,0,0,0,0,250,0,5,1,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,1,1,0,0
427452,3584DC,E. coli non-hemolytic,E. Coli,>8,R,K9-X,0,0,13.6,7.4,0,2,1.023,6,25,1000,0,0,0,150,0,3,1,3,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,E. Coli,1 x 10^3,,,,1,1,0,0,1,2
427706,4454DE,E. coli hemolytic,E. Coli,2,S,K9-DOBIE,0,0,6.3,33.5,0,1,1.033,5,25,0,5,0,3,10,0,5,2,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,1,0,1,2,0,0
427817,826DG,E. coli non-hemolytic,E. Coli,4,S,K9-MIN SCHN,0,0,3.8,8.4,1,0,1.006,8,0,0,0,0,0,50,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,E. Coli,6 x 10^2,Lactobacillus sp,1 x 10^3,,1,2,1,3,0,0
427968,9731DB,E. coli hemolytic,E. Coli,2,S,K9-GOLD RET,0,0,3.5,52.7,0,1,1.023,7,500,0,0,0,1,250,0,4.5,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,1,1,2,1,14
427968,724CJ,E. coli hemolytic,E. Coli,>16,R,K9-GOLD RET,0,0,3.5,52.7,0,1,1.023,7,500,0,0,0,1,250,0,4.5,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,1,1,2,1,14
428375,1136CU,E. coli non-hemolytic,E. Coli,8,S,K9-PUG,0,0,7.3,5.6,0,3,1.031,7,0,0,0,0,0,250,0,5,1,10,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,,,,0,0,0,0,0,0
429658,115DG,E. coli hemolytic,E. Coli,4,S,K9-BERNESE,0,0,6.2,31.8,0,2,1.015,5,15,0,0,0,0,50,0,5,0,100,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,0,0,0,0
429765,3689CK,E. coli hemolytic,E. Coli,8,S,K9-PUG,0,0,3.6,9.9,2,1,1.011,8,500,0,0,0,0,250,0,5,0,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,4,0,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,0,0,1,1,0,0
430920,3419CS,Enterococcus faecalis,Enterococci,1,,K9-BERNESE,0,0,1.5,31.3,0,3,1.017,8,0,0,0,0,0,10,0,4.5,1,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,0,0,0,0,0,0
430920,9262BW,E. coli non-hemolytic,E. Coli,>16,R,K9-BERNESE,0,0,1.5,31.3,0,3,1.017,8,0,0,0,0,0,10,0,4.5,1,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,0,0,0,0,0,0
431284,9883DB,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,10.5,7.4,0,2,1.037,6,25,1000,0,0,0,10,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Staphylococcus Pseudintermedius,1 x 10^5,Streptococcus Canis,1 x 10^5,,1,0,0,0,0,0
433314,7654CZ,E. coli non-hemolytic,E. Coli,>8,R,K9-CV KC SPAN,0,0,6.1,5.5,0,0,1.023,7,0,0,0,0,0,0,0,3,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,1,10,1,5,0,0
433510,3448CU,E. coli hemolytic,E. Coli,4,S,K9-X/PIT BULL TERRIER,0,0,4.6,31.1,0,2,1.026,8,0,0,0,0,0,0,0,5,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,1,0,1,3,0,0
433573,2035CQ,E. coli non-hemolytic,E. Coli,8,S,K9-X/LAB,0,0,12.3,24,0,3,1.016,8,25,0,0,0,0,0,0,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,0,0,0,0,0,0
434659,1167DA,E. coli non-hemolytic,E. Coli,1,S,K9-WEIMARANER,0,0,13.7,30.5,0,2,1.013,7,0,0,0,0,0,10,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^3,,,,0,0,1,1,0,0
434691,6491CT,Proteus mirabilis,Proteus,1,,K9-BULL TER,0,0,7,25.1,2,3,1.016,8,75,0,0,0,0,250,0,5,1,100,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,Proteus Mirabilis,1 x 10^5,,,,0,1,0,0,0,0
435303,78016EM,E. coli non-hemolytic,E. Coli,4,S,K9-YORK TER,0,0,7.1,2,0,0,1.034,6,0,0,0,0,3,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,1,0,1,4,0,0
435491,4337DC,E. coli hemolytic,E. Coli,8,S,K9-X,0,1,8,34.2,0,0,1.011,7,75,0,0,0,0,50,0,5,1,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,Hemolytic E. Coli,2 x 10^2,,,,1,1,1,2,1,14
436015,9505CL,Staph. pseudintermedius,Staphylococcus,2,,K9-DACH,0,0,9.4,7,0,1,1.042,8,75,0,0,0,0,250,0,3,1,100,1,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,1,0,0,0,0,0
436434,5915DL,E. coli hemolytic,E. Coli,2,S,K9-LAB,0,0,4.8,32.8,0,2,1.028,7,100,0,0,0,0,10,0,4,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,0,0,0,0
436434,1224CA,E. coli hemolytic,E. Coli,>16,R,K9-LAB,0,0,4.8,32.8,0,2,1.028,7,100,0,0,0,0,10,0,4,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,0,0,0,0
436665,8752CP,E. coli hemolytic,E. Coli,2,S,K9-X,0,0,6.9,7,0,1,1.02,8,75,0,0,0,0,10,0,4.5,1,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,0,2,1,3,0,0
436807,3486CS,Staph intermedius group,Staphylococcus,<=0.25,,K9-GOLD RET,0,0,3.1,26,0,3,1.023,7,0,0,0,0,0,0,0,5,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Intermedius group,1 x 10^4,Streptococcus Canis,1 x 10^4,,0,0,0,0,0,0
437359,486165M,Proteus mirabilis,Proteus,1,,K9-NEWFNDLN,0,0,0.5,28.9,0,3,1.024,8,0,0,0,0,0,0,0,5,1,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,Proteus Mirabilis,>1 x 10^5,,,,0,0,0,0,0,0
437359,355CJ,E. coli hemolytic,E. Coli,4,S,K9-NEWFNDLN,0,0,0.5,28.9,0,3,1.024,8,0,0,0,0,0,0,0,5,1,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,Proteus Mirabilis,>1 x 10^5,,,,0,0,0,0,0,0
437485,3366CP,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-GOLD RET,1,0,7.1,34.6,2,1,1.02,8,150,0,0,0,0,250,0.5,5,1,100,1,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,0,2,1,6,0,0
437833,7971DI,E. coli hemolytic,E. Coli,2,S,K9-MIN DACH,0,1,11.6,5.5,1,1,1.009,7,30,0,0,0,0,50,0,5,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,1,1,0,0
438042,1781CM,E. coli non-hemolytic,E. Coli,4,S,K9-X/NEWFNDLN/B COL,0,0,7.4,26,0,3,1.031,8,0,0,0,0,0,50,0,5,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,0,0,1,1,0,0
438133,1696CL,E. coli non-hemolytic,E. Coli,4,S,K9-LAB,0,0,12.2,45,0,3,1.016,8,75,300,0,0,0,150,0,4,0,100,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,E. Coli,1 x 10^5,,,,1,0,0,0,0,0
438189,3140CP,E. coli hemolytic,E. Coli,>1,Invalid,K9-PUG,1,0,10.2,8.8,4,3,1.008,5,75,0,0,0,0,250,0,2.5,1,100,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,0,0,0,0,0,0
438689,7835DC,Klebsiella pneumoniae,Klebsiella,>8,,K9-MIN DACH,0,0,9.1,4.2,0,2,1.026,7,25,0,0,0,3,50,0,4.5,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,Klebsiella Pneumoniae,1 x 10^5,,,,1,0,0,0,0,0
438848,1988CK,E. coli non-hemolytic,E. Coli,4,S,K9-LAB,1,0,0,41.7,0,3,1.026,6,25,0,0,0,1,150,0,3.5,1,10,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Aureus,>1 x 10^5,,,,1,0,0,0,1,28
438848,75393EM,Staphylococcus aur. ss aureus,Staphylococcus,1,,K9-LAB,1,0,0,41.7,0,3,1.026,6,25,0,0,0,1,150,0,3.5,1,10,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Aureus,>1 x 10^5,,,,1,0,0,0,1,28
438878,1976CX,Staph. pseudintermedius,Staphylococcus,>8,,K9-B FRISE,0,0,8.9,7.1,0,3,1.04,7,25,1000,50,0,0,0,0,5,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,1,2,0,0,0,0
439140,7983DK,E. coli hemolytic,E. Coli,2,S,K9-WEIMARANER,1,0,6.2,26,0,3,1.018,7,500,0,0,0,0,50,0,3.3,1,100,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,2,0,0,1,7
439236,3443CY,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,2.1,5.7,0,3,1.024,8,0,0,0,0,0,10,0,2,1,10,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,1,0,0,0,0,0
440041,6152CY,E. coli hemolytic,E. Coli,2,S,K9-ENG BULL,0,0,5.7,27,0,1,1.01,7,25,0,0,0,0,250,0,5,1,100,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,0,1,0,0,1,7
440053,7236CS,E. coli non-hemolytic,E. Coli,4,S,K9-BRIT,0,0,8.9,18.2,1,2,1.007,7,0,0,0,0,0,0,0,5,0,20,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,1,0,0,0,0,0
440053,259CK,E. coli non-hemolytic,E. Coli,2,S,K9-BRIT,0,0,8.9,18.2,1,2,1.007,7,0,0,0,0,0,0,0,5,0,20,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,1,0,0,0,0,0
440169,7392DE,E. coli hemolytic,E. Coli,2,S,K9-LAB,1,0,10.8,34.8,2,1,1.04,7,500,0,0,0,3,250,0.2,0.2,0,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,Hemolytic E. Coli,>1 x 10^5,,,,1,3,1,4,0,0
441301,541DL,E. coli hemolytic,E. Coli,8,S,K9-X,0,0,8.2,25.5,0,2,1.009,6,30,0,0,0,0,150,0,4.5,1,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,E. Coli,1 x 10^4,Hemolytic E. Coli,1 x 10^3,,1,5,0,0,1,15
441373,1836CP,Proteus mirabilis,Proteus,1,,K9-P W CORG,1,0,4.9,14.2,3,1,1.036,8,500,0,0,0,0,250,0.1,4.5,1,100,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Proteus Mirabilis,1 x 10^5,,,,0,1,0,0,0,0
441412,6503DA,Proteus mirabilis,Proteus,>8,,K9-LAB,0,0,4.9,47.2,0,3,1.022,5,150,1000,5,0,0,250,0,2,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,2,2,0,0,Proteus Mirabilis,1 x 10^4,,,,0,0,1,3,0,0
441452,3083CU,Proteus mirabilis,Proteus,1,,K9-GOLD RET,0,0,7.9,47,0,3,1.023,8,75,1000,0,0,0,50,0,5,1,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Proteus Mirabilis,>1 x 10^5,Enterococcus Faecalis,>1 x 10^5,,1,4,1,9,0,0
442429,9627CT,Bacillus,Bacillus,,,K9-ROTT,1,1,2.2,54,0,2,1.006,6,150,0,0,0,0,10,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Bacillus sp,1 x 10^2,,,,1,0,0,0,0,0
442901,6086CR,E. coli non-hemolytic,E. Coli,2,S,K9-SHELTIE,0,0,9.8,9.3,0,2,1.009,6,75,0,0,0,0,10,0,5,0,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,,,,0,0,0,0,0,0
442901,3819CJ,E. coli hemolytic,E. Coli,4,S,K9-SHELTIE,0,0,9.8,9.3,0,2,1.009,6,75,0,0,0,0,10,0,5,0,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,,,,0,0,0,0,0,0
444436,3577CR,E. coli non-hemolytic,E. Coli,2,S,K9-PUG,1,0,9.3,12.5,0,1,1.008,5,150,0,0,0,0,250,0,5,0,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,E. Coli,1 x 10^5,,,,1,0,1,1,0,0
444761,5183CQ,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-MIN SCHN,0,0,3.2,8.5,0,1,1.037,8,75,0,0,0,0,250,0,3,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,Staphylococcus Pseudintermedius,1 x 10^4,,0,0,0,0,0,0
445341,2580CQ,E. coli non-hemolytic,E. Coli,>8,R,K9-B COL,0,0,8.6,18.9,0,2,1.032,5,25,1000,0,0,0,50,0,5,1,50,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,1,1,1,2,1,7
445877,9057CP,Enterococcus faecalis,Enterococci,1,,K9-X,0,0,4.5,10.1,3,1,1.026,8,150,0,0,0,0,250,0.1,4,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,4,1,0,0,Staphylococcus Intermedius group,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,0,0,0,0,0,0
445889,1645CS,E. coli hemolytic,E. Coli,4,S,K9-ST POOD,0,0,8.2,22.9,0,1,1.032,8,25,0,0,0,0,250,0,5,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,0,0,0,0,0
446248,8207CQ,E. coli hemolytic,E. Coli,2,S,K9-X/LAB,0,0,6.4,23.3,0,1,1.044,7,25,50,0,0,1,10,0,5,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,1,1,3,0,0
446705,3825CQ,E. coli non-hemolytic,E. Coli,2,S,K9-X,0,0,8.6,5.7,0,1,1.037,6,25,0,0,0,0,50,0,5,1,100,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,0,0,0,0,0,0
446718,2834CW,E. coli hemolytic,E. Coli,8,S,K9-X/AUS CTL,0,0,7.7,14.9,0,3,1.024,7,0,0,0,0,0,10,0,5,1,50,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,0,0,0,0,0,0
447250,5789CP,E. coli non-hemolytic,E. Coli,>8,R,K9-BOXER,1,0,5.3,31.5,0,1,1.021,8,0,0,0,0,0,0,0,5,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,,,,0,0,0,0,0,0
447485,7805CY,E. coli hemolytic,E. Coli,4,S,K9-GOLD RET,0,0,1.5,24.9,0,1,1.016,8,0,0,0,0,0,250,0,3.5,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,0,0,0,0,0
449514,4527CP,Staph. pseudintermedius,Staphylococcus,0.25,,K9-B GRIFF,0,0,7.7,4,0,1,1.021,6,25,0,0,0,0,250,0,5,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,Staphylococcus Intermedius group,1 x 10^4,Staphylococcus Pseudintermedius,1 x 10^4,,1,2,0,0,1,56
449627,4177CY,E. coli non-hemolytic,E. Coli,>8,R,K9-MIN DACH,0,1,12.6,3.6,0,1,1.03,6,75,0,0,0,3,250,0.1,5,1,100,1,50,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,1,2,1,4,0,0
449799,7131CP,E. coli non-hemolytic,E. Coli,4,S,K9-LAB,0,0,9.8,31,0,3,1.015,5,0,0,0,0,0,50,0,4,0,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,E. Coli,>1 x 10^5,,,,0,1,0,0,0,0
450024,2628CU,Proteus mirabilis,Proteus,1,,K9-GER SHEP,0,0,6.2,33.8,2,1,1.038,8,150,0,0,0,0,250,0.2,5,1,100,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,Proteus Mirabilis,>1 x 10^5,Enterococcus Faecalis,>1 x 10^5,,0,6,0,0,0,0
450529,2478DH,Proteus mirabilis,Proteus,1,,K9-CV KC SPAN,0,0,11.9,9.1,0,2,1.007,6,0,0,0,0,0,10,0,3.5,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Proteus Mirabilis,1 x 10^4,,,,0,2,0,0,0,0
450571,1720CZ,Strep. bovis-eq cmplx,Streptococcus,<=0.25,,K9-DOBIE,0,1,5.1,31.3,0,1,1.027,7,0,0,0,0,0,10,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,0,0,Streptococcus Bovis-Equinus Complex,1 x 10^5,,,,1,0,0,0,0,0
450615,8981CS,Enterococcus faecalis,Enterococci,1,,K9-BOXER,1,0,11.3,29.5,0,2,1.025,6,75,0,0,0,0,0,0,4.5,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,Enterococcus Faecalis,1 x 10^5,,,,1,4,1,1,1,10
451033,2074CQ,E. coli hemolytic,E. Coli,4,S,K9-MALTESE,0,0,10.4,4,0,1,1.04,8,500,0,0,0,0,250,0.1,3,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,1,3,0,0,0,0
