Patient ID,Visit#,Date of Test,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Amoxi/Clav,Amoxi/Clav_RSI,Oxacillin,Penicillin,Piper/Tazob,Cefazolin,Cefazolin_RSI,Cefovecin,Cefovecin_RSI,Cefpodoxime,Cefpodoxime_RSI,Ceftazadime,Cephalexin,Cephalothin,Amikacin,Amikacin_RSI,Gentamicin,Gentamicin_RSI,Chloramphenicol,Chloramphenicol_RSI,Doxycycline,Doxycycline_RSI,Minocycline,Minocycline_RSI,Tetracycline,Tetracycline_RSI,Enrofloxacin,Marbofloxacin,Orbifloxacin,Orbifloxacin_RSI,Pradofloxacin,Pradofloxacin_RSI,Trim/Sulfa,Trim/Sulfa_RSI,Clindamycin,Erythromycin,Nitrofurantoin,Nitrofurantoin_RSI,Vancomycin,Rifampin,Imipenem,Imipenem_RSI
441340,3842CB,41247,Pasteurella species,Pasteurella,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,<=0.5,,,,<=1,<=1,
439293,3874CB,41247,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,>16,,>8,,>16,,,,,>32,,>8,,>16,,8,,,,,,0.5,1,,,,,>2,,>4,>4,,,,>2,<=1,
425612,3971CB,41248,Streptococcus canis,Streptococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441082,4150CB,41249,Kleb. pneumoniae ss pneumoniae,Klebsiella,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,8,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
369204,4711CB,41255,E. coli non-hemolytic,E. Coli,4,S,8,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,<=1,S,16,I,4,S,,,,,>2,>2,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
440815,5377CB,41261,Corynebacterium urealyticum,Corynebacterium,>16,,>32,,,>8,,>16,,>8,,>16,,,,,<=4,,<=1,,16,,<=2,,,,,,>2,>2,,,,,>2,,>4,>4,,,,<=1,>8,
441616,5480CB,41262,Staph. pseudintermedius,Staphylococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
436307,5546CB,41262,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
441781,5914CB,41269,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
428809,6486CB,41277,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
441716,6818CB,41281,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
440321,6826CB,41281,Klebsiella pneumoniae,Klebsiella,16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
331995,6854CB,41281,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
423874,7112CB,41283,Enterococcus faecalis,Enterococci,0.5,,<=4,,>4,2,,16,,>8,,16,,,,,>32,,>8,,<=4,,<=2,,,,,,1,2,,,,,<=0.5,,>4,1,,,,2,<=1,
440583,7408CB,41285,Enterococcus faecalis,Enterococci,1,,<=4,,>4,2,,>16,,8,,<=2,,,,,>32,,>8,,>16,,>8,,,,,,1,2,,,,,>2,,>4,1,,,,>2,<=1,
442211,65469EM,41287,Mycoplasma,Mycoplasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442407,7707CB,41289,E. coli hemolytic,E. Coli,1,S,<=4,S,1,8,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,2,<=1,S
406587,7846CB,41290,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
442161,8339CB,41296,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
428592,9000CB,41302,E. coli hemolytic,E. Coli,>16,R,32,R,>4,>8,,8,S,4,I,8,R,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
436435,97CC,41310,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,>16,,>8,,>16,,,,,>32,,>8,,>16,,8,,,,,,1,2,,,,,<=0.5,,>4,>4,,,,>2,<=1,
438998,112CC,41310,E. coli hemolytic,E. Coli,>16,R,16,R,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
411495,487CC,41312,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,2,<=1,S
406471,559CC,41313,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,4,S,,,,,<=0.25,<=0.25,,,,,2,S,>4,>4,,,,>2,<=1,S
406724,580CC,41313,Enterococcus durans,Enterococci,0.5,,<=4,,>4,2,,16,,>8,,>16,,,,,16,,2,,<=4,,4,,,,,,1,1,,,,,<=0.5,,4,<=0.5,,,,<=1,<=1,
443460,65674EM,41322,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
300730,1557CC,41324,E. coli hemolytic,E. Coli,>16,R,>32,R,>4,>8,,>16,S,>8,R,>16,R,,,,16,R,4,I,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
337224,2314CC,41330,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,8,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,16,I,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,2,<=1,S
443762,2532CC,41331,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,>16,,>8,,>16,,,,,>32,,>8,,8,,<=2,,,,,,1,2,,,,,<=0.5,,4,2,,,,<=1,<=1,
431225,2798CC,41333,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,8,I,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
443837,2861CC,41333,Coagulase Negative Staph Group,Staphylococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,0.5,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
443880,3567CC,41339,E. coli hemolytic,E. Coli,>16,R,32,R,>4,>8,,16,S,4,I,8,R,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
442906,3814CC,41341,Kleb. pneumoniae ss pneumoniae,Klebsiella,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
439581,4193CC,41345,Staph. pseudintermedius,Staphylococcus,>16,,32,,>4,>8,,>16,,>8,,>16,,,,,<=4,,8,,8,,<=2,,,,,,>2,>2,,,,,>2,,>4,>4,,,,<=1,<=1,
445939,4283CC,41346,E. coli hemolytic,E. Coli,0.5,S,<=4,S,>4,4,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
403367,4329CC,41346,E. coli non-hemolytic,E. Coli,>16,R,8,S,>4,>8,,8,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,>2,S,>4,>4,,,,>2,<=1,S
425299,4362CC,41346,E. coli hemolytic,E. Coli,1,S,<=4,S,>4,>8,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,2,<=1,S
440338,4661CC,41348,E. coli non-hemolytic,E. Coli,8,S,4,S,,,<=4,,,1,S,0.5,S,,8,,<=2,S,<=1,S,4,S,,,,,<=1,S,0.25,<=0.5,,,,,<=20,R,,,<=16,S,,,<=1,S
433721,4880CC,41352,Enterobacter sakazakii,Enterobacteriaceae,2,,<=4,,>4,>8,,16,,1,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
402553,5332CC,41355,E. coli,E. Coli,<=2,S,<=2,S,,,,,,<=0.5,S,<=0.25,S,,8,,<=2,S,<=1,S,,,,,,,<=1,S,<=0.12,<=0.5,,,,,,,,,<=16,S,,,<=1,S
442527,5675CC,41359,E. coli hemolytic,E. Coli,4,S,8,S,>4,>8,,<=4,S,1,S,4,I,,,,32,R,4,I,16,I,>8,I,,,,,>2,>2,,,,,<=0.5,S,>4,>4,,,,>2,4,R
428811,5821CC,41360,Staph intermedius group,Staphylococcus,>16,,<=4,,<=0.25,>8,,<=4,,<=0.25,,4,,,,,<=4,,<=1,,16,,8,,,,,,>2,>2,,,,,<=0.5,,<=0.5,>4,,,,>2,<=1,
443951,6416CC,41366,Klebsiella aerogenes,Klebsiella,>16,,32,,>4,>8,,<=4,,2,,<=2,,,,,<=4,,<=1,,16,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
370173,6483CC,41367,E. coli non-hemolytic,E. Coli,>16,R,32,R,>4,>8,,>16,S,>8,R,>16,R,,,,<=4,S,>8,R,>16,I,>8,I,,,,,>2,>2,,,,,>2,S,>4,>4,,,,>2,<=1,S
436240,7318CC,41373,Streptococcus canis,Streptococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408966,7905CC,41379,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,8,I,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
445507,8122CC,41381,Staph. pseudintermedius,Staphylococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
444221,8392CC,41381,E. coli hemolytic,E. Coli,>16,R,32,R,>4,>8,,>16,S,>8,R,>16,R,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
411468,8511CC,41382,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,>16,,>8,,>16,,,,,>32,,>8,,8,,<=2,,,,,,1,2,,,,,<=0.5,,>4,<=0.5,,,,>2,<=1,
444382,8513CC,41382,E. coli non-hemolytic,E. Coli,>16,R,32,R,>4,>8,,16,S,4,I,8,R,,,,<=4,S,<=1,S,16,I,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
442843,6748CCREH,41383,E. coli hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,2,S,<=2,S,,,,<=4,S,<=1,S,>16,I,4,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
404697,8681CC,41383,Proteus mirabilis,Proteus,1,,<=4,,>4,4,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,16,,>8,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
438295,9024CC,41387,Lactococcus species,Lactococcus,0.5,,<=4,,>4,1,,8,,>8,,>16,,,,,32,,4,,<=4,,<=2,,,,,,1,2,,,,,<=0.5,,4,<=0.5,,,,<=1,<=1,
444294,9065CC,41387,Kleb. pneumoniae ss pneumoniae,Klebsiella,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,8,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
444425,66090EM,41390,Mycoplasma,Mycoplasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444338,66124EM,41394,Staph intermedius group,Staphylococcus,<=0.25,,<=4,,<=0.25,4,,<=4,,<=0.25,,<=2,,,,,<=4,,>8,,<=4,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,<=1,<=1,
437319,9854CC,41394,Proteus mirabilis,Proteus,1,,<=4,,>4,4,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,>8,,,,,,0.5,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
431240,66128EM,41394,Kleb. pneumoniae ss pneumoniae,Klebsiella,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
442573,206CD,41395,Strep. bovis-equinus complex,Streptococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,16,,2,,<=4,,>8,,,,,,2,2,,,,,2,,<=0.5,<=0.5,,,,<=1,<=1,
366616,305CD,41396,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,2,<=1,S
436155,441CD,41397,Citrobacter species,Citrobacter,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,16,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
436358,490CD,41397,E. coli hemolytic,E. Coli,>16,R,32,R,>4,>8,,>16,S,>8,R,>16,R,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
375756,814CD,41401,Enterococcus faecalis,Enterococci,2,,<=4,,>4,8,,>16,,>8,,>16,,,,,>32,,8,,<=4,,<=2,,,,,,0.5,2,,,,,<=0.5,,>4,<=0.5,,,,<=1,2,
444296,1146CD,41403,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
446164,1156CD,41403,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,1,S,<=2,S,,,,16,R,2,S,8,S,4,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
352666,1167CD,41404,E. coli non-hemolytic,E. Coli,>16,R,8,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,>8,R,>16,I,>8,I,,,,,>2,>2,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
446112,1303CD,41404,Enterococcus faecalis,Enterococci,1,,<=4,,>4,2,,>16,,>8,,>16,,,,,>32,,>8,,<=4,,<=2,,,,,,1,2,,,,,<=0.5,,>4,1,,,,>2,<=1,
446105,66182EM,41405,E. coli hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
446017,1532CD,41407,Coagulase Negative Staph Group,Staphylococcus,<=0.25,,<=4,,<=0.25,0.25,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
446246,2289CD,41412,E. coli non-hemolytic,E. Coli,>16,R,32,R,>4,>8,,>16,S,>8,R,>16,R,,,,<=4,S,<=1,S,>16,I,>8,I,,,,,>2,>2,,,,,>2,S,>4,>4,,,,>2,<=1,S
401513,2297CD,41413,Enterococcus faecalis,Enterococci,0.5,,<=4,,>4,2,,16,,>8,,>16,,,,,>32,,>8,,<=4,,<=2,,,,,,1,2,,,,,<=0.5,,>4,<=0.5,,,,>2,<=1,
444999,2313CD,41413,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
448452,2365CD,41414,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
448282,3399CD,41422,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,<=0.25,S,<=2,S,,,,<=4,S,<=1,S,<=4,R,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
448254,3453CD,41423,E. coli non-hemolytic,E. Coli,8,S,<=4,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,<=1,S,16,I,4,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
448292,3679CD,41423,E. coli hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
448427,3733CD,41424,Proteus mirabilis,Proteus,1,,<=4,,>4,4,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,8,,>8,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
358297,66368EM,41429,Staph. pseudintermedius,Staphylococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,16,,2,,<=4,,<=2,,,,,,0.5,1,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
444812,4386CD,41429,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,16,,>8,,16,,,,,>32,,>8,,8,,<=2,,,,,,1,2,,,,,<=0.5,,>4,<=0.5,,,,>2,<=1,
427788,66381EM,41431,Staph. pseudintermedius,Staphylococcus,0.5,,<=4,,<=0.25,1,,<=4,,<=0.25,,<=2,,,,,<=4,,8,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
441035,4716CD,41431,Enterococcus faecium,Enterococci,>16,,32,,>4,>8,,>16,,>8,,>16,,,,,>32,,>8,,<=4,,>8,,,,,,2,2,,,,,<=0.5,,>4,4,,,,<=1,>8,
448121,5146CD,41436,Enterococcus species,Enterococci,1,,<=4,,2,2,,>16,,>8,,>16,,,,,>32,,>8,,<=4,,<=2,,,,,,1,1,,,,,<=0.5,,4,<=0.5,,,,<=1,2,
447674,5304CD,41437,E. coli hemolytic,E. Coli,>16,R,32,R,>4,>8,,>16,S,8,R,16,R,,,,<=4,S,<=1,S,<=4,R,>8,I,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
426801,6059CD,41443,Enterococcus faecalis,Enterococci,1,,<=4,,>4,4,,>16,,>8,,>16,,,,,>32,,>8,,8,,<=2,,,,,,1,2,,,,,<=0.5,,>4,<=0.5,,,,>2,2,
447740,6392CD,41445,Escherichia coli,E. Coli,>16,R,8,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,>8,R,8,S,8,I,,,,,>2,>2,,,,,>2,S,>4,>4,,,,>2,<=1,S
379759,6450CD,41445,Proteus mirabilis,Proteus,1,,<=4,,>4,4,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,8,,>8,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
447827,7038CD,41451,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
447847,7065CD,41451,Proteus mirabilis,Proteus,1,,<=4,,>4,4,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,8,,>8,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
393273,66558EM,41457,E. coli hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,<=1,S,8,S,>8,I,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
447277,8142CD,41458,Enterobacterales,Enterobacteriaceae,8,,8,,>4,>8,,<=4,,1,,<=2,,,,,<=4,,<=1,,16,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
447271,8555CD,41463,E. coli hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
380367,8603CD,41463,E. coli hemolytic,E. Coli,>16,R,16,R,>4,>8,,8,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
361312,8701CD,41464,E. coli non-hemolytic,E. Coli,4,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,8,I,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
447952,8867CD,41465,E. coli non-hemolytic,E. Coli,4,S,8,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,2,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
322164,9123CD,41466,Coagulase Negative Staph Group,Staphylococcus,<=0.25,,<=4,,<=0.25,<=0.06,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
447366,9226CD,41467,Enterococcus faecium,Enterococci,>16,,32,,>4,>8,,>16,,>8,,>16,,,,,>32,,8,,<=4,,>8,,,,,,>2,>2,,,,,<=0.5,,<=0.5,2,,,,<=1,>8,
447799,9288CD,41468,Kleb. pneumoniae ss pneumoniae,Klebsiella,>16,,<=4,,>4,>8,,<=4,,0.5,,<=2,,,,,<=4,,<=1,,<=4,,<=2,,,,,,<=0.25,<=0.25,,,,,<=0.5,,>4,>4,,,,>2,<=1,
447493,9351CD,41470,Staph. pseudintermedius,Staphylococcus,<=0.25,,<=4,,<=0.25,0.12,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
448416,9549CD,41471,Enterococcus faecium,Enterococci,>16,,32,,>4,>8,,>16,,>8,,>16,,,,,>32,,>8,,<=4,,>8,,,,,,>2,>2,,,,,<=0.5,,>4,4,,,,<=1,>8,
447069,448CE,41478,E. coli non-hemolytic,E. Coli,<=0.25,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
446534,489CE,41478,E. coli non-hemolytic,E. Coli,1,S,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,8,S,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
444860,753CE,41480,Enterococcus faecalis,Enterococci,>16,,>32,,>4,>8,,>16,,>8,,>16,,,,,>32,,8,,8,,4,,,,,,>2,>2,,,,,<=0.5,,>4,>4,,,,2,>8,
445329,787CE,41480,Staph intermedius group,Staphylococcus,<=0.25,,<=4,,<=0.25,0.25,,<=4,,<=0.25,,<=2,,,,,<=4,,<=1,,<=4,,4,,,,,,<=0.25,<=0.25,,,,,<=0.5,,<=0.5,<=0.5,,,,<=1,<=1,
409011,869CE,41481,E. coli non-hemolytic,E. Coli,>16,R,8,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,2,S,8,S,<=2,S,,,,,0.5,0.5,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
432992,968CE,41482,E. coli non-hemolytic,E. Coli,>16,R,16,R,>4,>8,,>16,S,>8,R,>16,R,,,,8,I,>8,R,16,I,>8,I,,,,,>2,>2,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
443839,1171CE,41484,E. coli non-hemolytic,E. Coli,16,R,<=4,S,>4,>8,,<=4,S,0.5,S,<=2,S,,,,<=4,S,<=1,S,>16,I,>8,I,,,,,>2,>2,,,,,>2,S,>4,>4,,,,>2,<=1,S
444122,1275CE,41485,Pseudomonas aeruginosa,Pseudomonas,>16,,32,,>4,>8,,>16,,>8,,>16,,,,,<=4,,<=1,,>16,,>8,,,,,,>2,>2,,,,,>2,,>4,>4,,,,>2,<=1,
445299,1630CE,41488,E. coli non-hemolytic,E. Coli,2,S,<=4,S,>4,>8,,<=4,S,1,S,<=2,S,,,,<=4,S,<=1,S,16,I,<=2,S,,,,,<=0.25,<=0.25,,,,,<=0.5,S,>4,>4,,,,>2,<=1,S
