Patient ID,Visit#.x,Date of Test.x,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Breed,Sex (0 = female; 1 = male),Neuter status (0 = castrated; 1 = not castrated),Age,Weight (kg),Color (0 = yellow/dark yellow/amber; 1 = straw; 2 = red/pink; 3 = brown/light & dark brown; 4 = other),Clarity (0 = clear; 1 = opaque/cloudy; 2 = SLhazy; 3 = hazy),USG,PH,Protein,Glucose,Ketones,Creatinine,Bilirubin...19,Hemoprotein,Sediment Vol,Volume,Lipid Layer,WBC (simplified),Pyuria (1 if >/=4),RBC (simplified),Crystals (0 = none 1 = rare; 2 = few; 3 = mod; 4 = many),Unknown,Amorphous,Phosphate,CaOx,Oxalate,Triple Phos,Ca Phos,Bilirubin...35,Struvite,Ca Carbonate,Ammonium biurate,Ammonium Urate,Tyrosine,Uric acid,Cholesterol,Cystine,Starch,Na urate,Urate,Biurate,Hemoglobin,Talcom,Epithelial Cells-Transitional,Epithelial Cells-Squamous,Epithelial Cells-Renal,Epithelial Cells-Caudate,Casts-Hyaline,Casts-Granular,Casts-Waxy,Casts-Cellular,Bacteria quantity,Bac Type,Lipid Droplets,Sperm,Growth (0 = growth),1st Organism Grown,Amount (organism/mL)...64,2nd Organism Grown,Amount (organism/mL)...66,3rd Organism Grown,Amount (organism/mL)...68,Underlying conditions (no = 0; yes = 1),Number of vet visits,Hospitalization (no = 0; yes = 1),Duration of hospitalization (days),U-cath placement (no = 0; yes = 1),Duration of U-cath placement (days),Antimicrobial therapy (no = 0; yes = 1),Duration of therapy (days),Antimicrobial class
420697,9688DB,43419,Proteus mirabilis,Proteus,1,,K9-GER SHEP,0,0,1.7,36.4,1,3,1.005,7,0,0,0,0,0,50,0,4,0,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,Proteus Mirabilis,1 x 10^5,,,,,1,0,0,0,0,0,1,42,Fluoroquinolone
420738,3748DI,43935,E. coli non-hemolytic,E. Coli,>8,R,K9-MALTESE,1,0,12.9,3.1,1,0,1.009,7,30,0,0,0,0,50,0,5,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,E. Coli,1 x 10^3,Enterococcus Faecalis,1 x 10^2,,,1,1,1,9,0,0,0,0,
420898,7060DI,43982,E. coli hemolytic,E. Coli,2,S,K9-PIT BULL TERRIER,0,0,1.7,,0,1,1.022,8,100,0,0,0,0,250,0.1,5,1,10,1,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,0,1,1,0,0,0,0,
421006,5708DL,44229,Staph. pseudintermedius,Staphylococcus,8,,K9-X,0,0,6.1,28.2,0,3,1.019,7,30,0,0,0,0,250,0,5,1,10,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
421115,1136DC,43432,E. coli non-hemolytic,E. Coli,4,S,K9-X,1,0,10.9,24,0,3,1.016,6,500,0,0,0,0,10,0,5,1,50,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
421129,1226DC,43433,Enterococcus faecalis,Enterococci,1,,K9-ENG BULL,0,0,6.5,25.4,0,2,1.012,8,0,0,0,0,0,0,0,5,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,0,0,Enterococcus Faecalis,1 x 10^4,,,,,1,0,0,0,0,0,1,21,Penicillin & Cephalosporin
421149,1435DC,43434,E. coli hemolytic,E. Coli,>8,R,K9-RHD RIDG,0,0,6.6,38.9,0,1,1.012,7,25,0,0,0,0,250,0,5,0,100,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,Pseudomonas Aeroginosa,1 x 10^3,,,1,4,1,3,0,0,1,14,Penicillin
421157,944DI,43894,E. coli non-hemolytic,E. Coli,>8,R,K9-BASSET,0,0,17.2,23.3,0,3,1.015,5,0,0,0,0,0,10,0,5,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,E. Coli,1 x 10^4,Enterococcus Faecalis,1 x 10^3,,,0,5,0,0,0,0,1,16,Penicillin
421316,5893DK,44142,Staphylococcus intermedius,Staphylococcus,1,,K9-ENG BULL,1,1,2.5,30,0,1,1.036,8,100,0,0,0,0,250,0,4.5,0,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,Staphylococcus Intermedius,1 x 10^5,Staphylococcus Pseudintermedius,1 x 10^5,,,1,0,0,0,1,1,0,0,
421562,2406DC,43442,Enterococcus faecium,Enterococci,>8,,K9-E SPR SPAN,0,0,4.9,41.8,4,3,1.041,7,75,0,5,0,3,250,0,5,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,Enterococcus Faecium,2.5 x 10^3,E. Coli,2 x 10^2,,,0,1,1,7,0,0,1,1,Cephalosporin
421574,4443DC,43460,Mycoplasma Sp.,Mycoplasma,,,K9-X,0,0,9,30.5,0,1,1.036,8,75,0,0,0,0,250,0,4.5,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Mycoplasma,1 x 10^4,,,,,1,2,0,0,0,0,1,4,Cephalosporin
421677,3605DC,43452,E. coli hemolytic,E. Coli,4,S,K9-E SPR SPAN,1,0,12,24.2,0,1,1.028,8,0,0,0,0,0,250,0,5,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
422056,6502CY,43158,E. coli non-hemolytic,E. Coli,4,S,K9-X,0,0,7.7,57,0,3,1.011,8,0,0,0,0,0,250,0,4,0,50,1,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
422932,7760DD,43564,E. coli hemolytic,E. Coli,>8,R,K9-LAB,1,0,6.7,35.9,0,0,1.007,7,0,0,0,0,0,10,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,1,1,1,0,0,0,0,
423691,5752DE,43622,Enterococcus faecalis,Enterococci,0.5,,K9-X,0,0,11.4,37,0,1,1.026,7,150,0,5,0,0,250,0,4,1,50,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,0,0,Enterococcus Faecalis,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
424018,7601DD,43564,E. coli hemolytic,E. Coli,4,S,K9-X,1,0,2.6,29.9,0,2,1.032,9,25,0,0,0,0,0,0,5,0,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,1,1,3,0,0,0,0,
424266,1358CS,42615,E. coli hemolytic,E. Coli,8,S,K9-GOLD RET,0,0,1.1,37.2,0,2,1.032,8,0,0,0,0,0,10,0,5,1,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
424295,4286CK,42016,Staph. pseudintermedius,Staphylococcus,1,,K9-X,0,0,8.9,11.7,0,1,1.031,7,150,0,0,0,3,50,0,5,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,Staphylococcus Pseudintermedius,4.1 x 10^3,Enterococcus Faecalis,1 x 10^5,,,1,3,1,5,0,0,0,0,
424378,977DB,43353,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,5.3,7.5,0,1,1.02,7,150,0,0,0,0,250,0,4.5,1,50,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,Streptococcus Canis,1 x 10^5,,,1,0,1,3,0,0,0,0,
424491,4777DF,43689,E. coli hemolytic,E. Coli,4,S,K9-BOXER,0,0,3.1,30.9,0,3,1.018,6,25,0,0,0,0,10,0,5,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,1,0,0,0,0,1,7,Penicillin & Nitroimidazole
425414,5519DD,43547,E. coli hemolytic,E. Coli,1,S,K9-LAB,0,0,8.7,25.4,0,0,1.012,8,0,0,0,0,0,250,0,5,1,20,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,0,0,0,0,0,0,0,
425613,4789CT,42733,E. coli hemolytic mucoid,E. Coli,4,S,K9-BASSET,0,0,12.8,24.4,2,1,1.013,6,150,0,0,0,0,250,0.1,3,0,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,1,2,0,0,0,0,
425766,1105DD,43515,Enterococcus faecalis,Enterococci,1,,K9-MIN SCHN,0,1,0.7,7.7,0,2,1.008,8,25,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,Enterococcus Faecalis,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
425946,4691CT,42733,E. coli hemolytic,E. Coli,2,S,K9-GOLD RET,1,1,7.8,31.4,0,2,1.033,8,0,0,0,0,0,10,0,4.5,1,10,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,2,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
426703,8362DG,43793,E. coli hemolytic,E. Coli,2,S,K9-GER SHEP,0,0,2.2,35,0,2,1.013,8,15,0,0,0,0,50,0,3.3,1,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
426764,4658DB,43381,E. coli non-hemolytic,E. Coli,4,S,K9-WEIMARANER,0,0,0.8,40.2,0,2,1.013,7,75,0,0,0,1,0,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,E. Coli,7 x 10^2,,,,,0,0,1,1,0,0,0,0,
426909,5865DF,43697,E. coli hemolytic,E. Coli,2,S,K9-X,0,0,8.5,14.6,1,2,1.009,5,0,0,0,0,0,0,0,5,0,50,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,1,7,Fluoroquinolone
427097,2036CP,42394,E. coli hemolytic,E. Coli,>1,Invalid,K9-LAB,1,1,7.5,43.6,4,3,1.006,9,25,0,0,0,0,250,0,5,1,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,1,1,0,0,0,0,
427452,3584DC,43452,E. coli non-hemolytic,E. Coli,>8,R,K9-X,0,0,13.6,7.4,0,2,1.023,6,25,1000,0,0,0,150,0,3,1,3,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,E. Coli,1 x 10^3,,,,,1,1,0,0,0,0,1,2,Penicillin
427706,4454DE,43614,E. coli hemolytic,E. Coli,2,S,K9-DOBIE,0,0,6.3,33.5,0,1,1.033,5,25,0,5,0,3,10,0,5,2,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,,1,0,1,2,0,0,0,0,
427817,826DG,43735,E. coli non-hemolytic,E. Coli,4,S,K9-MIN SCHN,0,0,3.8,8.4,1,0,1.006,8,0,0,0,0,0,50,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,E. Coli,6 x 10^2,Lactobacillus sp,1 x 10^3,,,1,2,1,3,0,0,0,0,
427968,9731DB,43419,E. coli hemolytic,E. Coli,2,S,K9-GOLD RET,0,0,3.5,52.7,0,1,1.023,7,500,0,0,0,1,250,0,4.5,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,1,1,2,0,0,1,14,Penicillin
427968,724CJ,41897,E. coli hemolytic,E. Coli,>16,R,K9-GOLD RET,0,0,3.5,52.7,0,1,1.023,7,500,0,0,0,1,250,0,4.5,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,1,1,2,0,0,1,14,Penicillin
428375,1136CU,42790,E. coli non-hemolytic,E. Coli,8,S,K9-PUG,0,0,7.3,5.6,0,3,1.031,7,0,0,0,0,0,250,0,5,1,10,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
429658,115DG,43731,E. coli hemolytic,E. Coli,4,S,K9-BERNESE,0,0,6.2,31.8,0,2,1.015,5,15,0,0,0,0,50,0,5,0,100,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
429765,3689CK,42010,E. coli hemolytic,E. Coli,8,S,K9-PUG,0,0,3.6,9.9,2,1,1.011,8,500,0,0,0,0,250,0,5,0,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,4,0,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,,0,0,1,1,1,1,0,0,
430920,3419CS,42634,Enterococcus faecalis,Enterococci,1,,K9-BERNESE,0,0,1.5,31.3,0,3,1.017,8,0,0,0,0,0,10,0,4.5,1,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,,0,0,0,0,0,0,0,0,
430920,9262BW,40836,E. coli non-hemolytic,E. Coli,>16,R,K9-BERNESE,0,0,1.5,31.3,0,3,1.017,8,0,0,0,0,0,10,0,4.5,1,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,,0,0,0,0,0,0,0,0,
431284,9883DB,43420,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,10.5,7.4,0,2,1.037,6,25,1000,0,0,0,10,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Staphylococcus Pseudintermedius,1 x 10^5,Streptococcus Canis,1 x 10^5,,,1,0,0,0,0,0,0,0,
433314,7654CZ,43243,E. coli non-hemolytic,E. Coli,>8,R,K9-CV KC SPAN,0,0,6.1,5.5,0,0,1.023,7,0,0,0,0,0,0,0,3,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,,1,10,1,5,0,0,0,0,
433510,3448CU,42809,E. coli hemolytic,E. Coli,4,S,K9-X/PIT BULL TERRIER,0,0,4.6,31.1,0,2,1.026,8,0,0,0,0,0,0,0,5,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,,1,0,1,3,0,0,0,0,
433573,2035CQ,42468,E. coli non-hemolytic,E. Coli,8,S,K9-X/LAB,0,0,12.3,24,0,3,1.016,8,25,0,0,0,0,0,0,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
434659,1167DA,43271,E. coli non-hemolytic,E. Coli,1,S,K9-WEIMARANER,0,0,13.7,30.5,0,2,1.013,7,0,0,0,0,0,10,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^3,,,,,0,0,1,1,0,0,0,0,
434691,6491CT,42752,Proteus mirabilis,Proteus,1,,K9-BULL TER,0,0,7,25.1,2,3,1.016,8,75,0,0,0,0,250,0,5,1,100,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,Proteus Mirabilis,1 x 10^5,,,,,0,1,0,0,0,0,0,0,
435303,78016EM,43085,E. coli non-hemolytic,E. Coli,4,S,K9-YORK TER,0,0,7.1,2,0,0,1.034,6,0,0,0,0,3,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,,1,0,1,4,0,0,0,0,
435491,4337DC,43457,E. coli hemolytic,E. Coli,8,S,K9-X,0,1,8,34.2,0,0,1.011,7,75,0,0,0,0,50,0,5,1,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,Hemolytic E. Coli,2 x 10^2,,,,,1,1,1,2,0,0,1,14,Penicillin
436015,9505CL,42131,Staph. pseudintermedius,Staphylococcus,2,,K9-DACH,0,0,9.4,7,0,1,1.042,8,75,0,0,0,0,250,0,3,1,100,1,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
436434,5915DL,44230,E. coli hemolytic,E. Coli,2,S,K9-LAB,0,0,4.8,32.8,0,2,1.028,7,100,0,0,0,0,10,0,4,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
436434,1224CA,41128,E. coli hemolytic,E. Coli,>16,R,K9-LAB,0,0,4.8,32.8,0,2,1.028,7,100,0,0,0,0,10,0,4,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
436665,8752CP,42444,E. coli hemolytic,E. Coli,2,S,K9-X,0,0,6.9,7,0,1,1.02,8,75,0,0,0,0,10,0,4.5,1,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,>1 x 10^5,,,,,0,2,1,3,0,0,0,0,
436807,3486CS,42634,Staph intermedius group,Staphylococcus,<=0.25,,K9-GOLD RET,0,0,3.1,26,0,3,1.023,7,0,0,0,0,0,0,0,5,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Intermedius group,1 x 10^4,Streptococcus Canis,1 x 10^4,,,0,0,0,0,0,0,0,0,
437359,486165M,42713,Proteus mirabilis,Proteus,1,,K9-NEWFNDLN,0,0,0.5,28.9,0,3,1.024,8,0,0,0,0,0,0,0,5,1,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,Proteus Mirabilis,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
437359,355CJ,41893,E. coli hemolytic,E. Coli,4,S,K9-NEWFNDLN,0,0,0.5,28.9,0,3,1.024,8,0,0,0,0,0,0,0,5,1,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,Proteus Mirabilis,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
437485,3366CP,42406,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-GOLD RET,1,0,7.1,34.6,2,1,1.02,8,150,0,0,0,0,250,0.5,5,1,100,1,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,E. Coli,1 x 10^5,,,,,0,2,1,6,0,0,0,0,
437833,7971DI,43990,E. coli hemolytic,E. Coli,2,S,K9-MIN DACH,0,1,11.6,5.5,1,1,1.009,7,30,0,0,0,0,50,0,5,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,1,1,0,0,0,0,
438042,1781CM,42150,E. coli non-hemolytic,E. Coli,4,S,K9-X/NEWFNDLN/B COL,0,0,7.4,26,0,3,1.031,8,0,0,0,0,0,50,0,5,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,0,0,1,1,0,0,0,0,
438133,1696CL,42073,E. coli non-hemolytic,E. Coli,4,S,K9-LAB,0,0,12.2,45,0,3,1.016,8,75,300,0,0,0,150,0,4,0,100,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
438189,3140CP,42401,E. coli hemolytic,E. Coli,>1,Invalid,K9-PUG,1,0,10.2,8.8,4,3,1.008,5,75,0,0,0,0,250,0,2.5,1,100,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,0,0,0,0,0,0,0,
438689,7835DC,43489,Klebsiella pneumoniae,Klebsiella,>8,,K9-MIN DACH,0,0,9.1,4.2,0,2,1.026,7,25,0,0,0,3,50,0,4.5,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,Klebsiella Pneumoniae,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
438848,1988CK,41990,E. coli non-hemolytic,E. Coli,4,S,K9-LAB,1,0,0,41.7,0,3,1.026,6,25,0,0,0,1,150,0,3.5,1,10,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Aureus,>1 x 10^5,,,,,1,0,0,0,0,0,1,28,Penicillin & Fluoroquinolone
438848,75393EM,42714,Staphylococcus aur. ss aureus,Staphylococcus,1,,K9-LAB,1,0,0,41.7,0,3,1.026,6,25,0,0,0,1,150,0,3.5,1,10,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Aureus,>1 x 10^5,,,,,1,0,0,0,0,0,1,28,Penicillin & Fluoroquinolone
438878,1976CX,43032,Staph. pseudintermedius,Staphylococcus,>8,,K9-B FRISE,0,0,8.9,7.1,0,3,1.04,7,25,1000,50,0,0,0,0,5,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,,1,2,0,0,0,0,0,0,
439140,7983DK,44160,E. coli hemolytic,E. Coli,2,S,K9-WEIMARANER,1,0,6.2,26,0,3,1.018,7,500,0,0,0,0,50,0,3.3,1,100,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,2,0,0,0,0,1,7,Cephalosporin
439236,3443CY,43132,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,2.1,5.7,0,3,1.024,8,0,0,0,0,0,10,0,2,1,10,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
